Attraction,latitude,longitude,address,hierarchy,id,Version,Place
Crusoe Island Lodge (Chile),-33.64332,-78.81492,"Robinson Crusoe Island Robinson Crusoe Island, Juan Fernández, Valparaíso, Chile","Valparaíso, Chile",ChIJf5-J7Z-i_5YRTwkH4O_YQCY,v1.0.0,Chile
Ecocamp Patagonia (Torre del Paine),-50.9631884,-72.86361099999999,"24PP+PH Amarga, Torres de Paine, Chile","Magallanes y la Antártica Chilena, Chile",ChIJDUs6pxnor70RZLy9zqF58k8,v1.0.0,Chile
Museo de Mármol (Patagonia),-46.6586031,-72.6275525,"89RC+HX Puerto Río Tranquilo, Chile Chico, Chile","Aysén, Chile",ChIJKf_V1RRWkr0Ri7fQv6TzV_Q,v1.0.0,Chile
Rapa Nui (Easter Island),-27.112723,-109.3496865,"VMP2+W4 Hanga Roa, Easter Island, Chile","Valparaíso, Chile",ChIJK67UqBfwR5kRti0qwO2z5bs,v1.0.1,Chile
Salar de Tara,-23.6318171,-70.378872,"Salar de Tara 481, 1242281 Antofagasta, Chile","Antofagasta, Chile",ChIJoe8SXtfUr5YRp7LowXdZ5r0,v1.0.1,Chile
Tierra Atacama Hotel & Spa (Desierto Atacama),-33.894919,-71.4563259,"Hermosilla 556, 9660000 San Pedro, Región Metropolitana, Chile","Región Metropolitana, Chile",ChIJB1wVWUCxY5YRDyQ2fYxQya8,v1.0.0,Chile
Tierra Atacama Hotel & Spa (Desierto Atacama),-33.894919,-71.4563259,"Hermosilla 556, 9660000 San Pedro, Región Metropolitana, Chile","Región Metropolitana, Chile",ChIJB1wVWUCxY5YRDyQ2fYxQya8,v1.0.0,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.1,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.1,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.0,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.1,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.1,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.0,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.1,Chile
